symbol,window,trades,avg_price,volatility,min_price,max_price,price_range
BTCUSDT,2026-06-02T21:40:00,5495,66756.8671,25.5618,66709.2,66800.0,90.8
BTCUSDT,2026-06-02T21:41:00,5239,66670.7995,24.8202,66638.93,66737.59,98.66
BTCUSDT,2026-06-02T21:42:00,2561,66713.321,34.3635,66656.19,66771.71,115.52
BTCUSDT,2026-06-02T21:43:00,7928,66862.8046,41.2589,66771.71,66918.0,146.29
BTCUSDT,2026-06-02T21:44:00,4658,66934.4608,17.229,66902.0,66964.01,62.01
BTCUSDT,2026-06-02T21:45:00,5257,66941.1762,9.7904,66920.34,66957.74,37.4
BTCUSDT,2026-06-02T21:46:00,4892,66905.5975,22.2603,66874.14,66954.0,79.86
BTCUSDT,2026-06-02T21:47:00,7330,66982.9411,42.9086,66896.0,67046.89,150.89
BTCUSDT,2026-06-02T21:48:00,6315,67049.7389,27.1625,67008.0,67100.0,92.0
BTCUSDT,2026-06-02T21:49:00,5564,67114.1986,19.9177,67079.13,67160.0,80.87
BTCUSDT,2026-06-02T21:50:00,9572,67239.1901,50.8158,67128.14,67288.0,159.86
BTCUSDT,2026-06-02T21:51:00,8476,67299.7159,34.1607,67250.0,67371.19,121.19
BTCUSDT,2026-06-02T21:52:00,5338,67362.0931,16.5894,67328.0,67390.0,62.0
BTCUSDT,2026-06-02T21:53:00,9414,67437.1577,36.8749,67357.1,67498.0,140.9
BTCUSDT,2026-06-02T21:54:00,6563,67304.301,48.0065,67219.97,67376.0,156.03
BTCUSDT,2026-06-02T21:55:00,5336,67200.1886,9.7764,67173.52,67219.97,46.45
BTCUSDT,2026-06-02T21:56:00,2865,67184.6836,15.6705,67167.42,67218.08,50.66
BTCUSDT,2026-06-02T21:57:00,1778,67210.6687,8.337,67192.0,67223.22,31.22
BTCUSDT,2026-06-02T21:58:00,3178,67211.144,14.4259,67180.0,67232.0,52.0
BTCUSDT,2026-06-02T21:59:00,6779,67273.7294,28.1063,67215.1,67316.68,101.58
BTCUSDT,2026-06-02T22:00:00,5124,67233.8344,40.6438,67172.0,67315.15,143.15
BTCUSDT,2026-06-02T22:01:00,3714,67203.4601,10.8843,67172.0,67220.36,48.36
BTCUSDT,2026-06-02T22:02:00,6383,67129.7006,28.096,67091.79,67200.02,108.23
BTCUSDT,2026-06-02T22:03:00,8261,67202.3633,40.5997,67123.82,67270.0,146.18
BTCUSDT,2026-06-02T22:04:00,2415,67247.8224,15.0253,67222.09,67270.0,47.91
ETHUSDT,2026-06-02T21:40:00,6018,1895.8253,0.9828,1894.27,1897.25,2.98
ETHUSDT,2026-06-02T21:41:00,6168,1893.3078,0.6896,1892.17,1894.71,2.54
ETHUSDT,2026-06-02T21:42:00,4349,1895.952,1.3671,1893.33,1898.26,4.93
ETHUSDT,2026-06-02T21:43:00,6428,1900.5776,0.9686,1898.08,1901.63,3.55
ETHUSDT,2026-06-02T21:44:00,4203,1902.0169,0.6408,1900.8,1903.06,2.26
ETHUSDT,2026-06-02T21:45:00,5682,1902.7954,0.363,1902.04,1903.56,1.52
ETHUSDT,2026-06-02T21:46:00,4055,1900.9779,0.7897,1900.15,1902.64,2.49
ETHUSDT,2026-06-02T21:47:00,6486,1903.9595,1.6423,1900.49,1906.25,5.76
ETHUSDT,2026-06-02T21:48:00,5582,1906.1026,0.9819,1905.0,1908.13,3.13
ETHUSDT,2026-06-02T21:49:00,6446,1907.9318,0.4653,1907.07,1909.0,1.93
ETHUSDT,2026-06-02T21:50:00,8428,1910.6411,1.4427,1907.49,1912.12,4.63
ETHUSDT,2026-06-02T21:51:00,7540,1912.313,0.9986,1910.54,1914.32,3.78
ETHUSDT,2026-06-02T21:52:00,4094,1914.0512,0.4658,1913.15,1915.0,1.85
ETHUSDT,2026-06-02T21:53:00,8978,1916.1687,0.9272,1914.15,1917.8,3.65
ETHUSDT,2026-06-02T21:54:00,5208,1913.4962,1.3111,1911.16,1915.52,4.36
ETHUSDT,2026-06-02T21:55:00,4984,1910.213,0.4834,1908.9,1911.16,2.26
ETHUSDT,2026-06-02T21:56:00,3492,1908.796,0.3504,1908.19,1909.7,1.51
ETHUSDT,2026-06-02T21:57:00,1767,1909.6983,0.1827,1909.23,1910.02,0.79
ETHUSDT,2026-06-02T21:58:00,3139,1910.0181,0.4938,1909.08,1910.88,1.8
ETHUSDT,2026-06-02T21:59:00,5696,1911.5456,0.6458,1909.8,1912.59,2.79
ETHUSDT,2026-06-02T22:00:00,5274,1910.3608,1.2199,1908.47,1912.68,4.21
ETHUSDT,2026-06-02T22:01:00,4412,1909.4259,0.3596,1908.46,1910.08,1.62
ETHUSDT,2026-06-02T22:02:00,5154,1907.9285,0.4401,1907.14,1909.11,1.97
ETHUSDT,2026-06-02T22:03:00,4583,1910.6115,1.4165,1908.06,1913.22,5.16
ETHUSDT,2026-06-02T22:04:00,2491,1912.6724,0.4455,1912.05,1913.61,1.56
